english,kabyle
"slider","amaccag"
"slip","amcidh, tuccdha"
"slipper","ibelghat, idukan"
"slipping","iteccedh"
"slobber","ildayen, ilezzazen, tslur"
"slope","takwessart"
"slot","taxdhert, taxxamt"
"slovak","asluvaki, isluvakiyen"
"slovak language","tasluvakit"
"slovaki","sluvakya"
"slovene","asluvini, isluviniyen"
"slovene language","tasluvinit"
"slovenia","sluvinya"
"slowing","alukkez"
"slum","aacciw, agwerbi, ajdar"
"small bell","taslught"
"small besides","tageddid't"
"small container","tafendjalt"
"smoked","abbu, aggu, dexxan"
"smoker","imghubbet, imghubbten"
"smooth","aleggwagh, aslufan, leggwegh, seluf"
"snack","tazedwit"
"snail","aarus, aghellal"
"snake","ifighar"
"snake boxes","anezram"
"sniper","anekman"
"snow","adfel"
"so","ammer, lammer, mtadd"
"so that","akken, iwakken"
"sob","ameddjed"
"soccer","ddabex udar"
"sociability","timettiwt"
"sociable","amtiw"
"social","ametti, amezday"
"social class","taserkemt, tiserkam"
"social security","taghellist tamezdayt"
"socialism","tanemla, tinemliwin"
"socialist","aghelnaz'ri, anemlay, ighelnaz'riyen"
"socialization","asemtiw"
"society","tametti"
"sociology","timettisent"
"sœur","weltma"
"sofa","asenghay"
"soft","abninan, adhfi, alewwagh, aszidhan"
"soft (to be)","bnin, hlaw, imim"
"softish","adifan"
"soldier","aserdas"
"sole","alett'ud', timsilt"
"solidarity","tamsetla"
"solitude","tansuft"
"solution","tabadut, tareszmi, tibuda, tifrat"
"somali language","tas'umalit"
"somalia","s'umalya"
"somalian","as'umali, is'umaliyen"
"something else","ayen nnidhen"
"song","ccna, ccnawi, izli, taghwect, tizlatin, tizlit"
"son-in-law","adheggwal"
"soot","abux, abuxxen, aggunwal"
"soothsayer","ineqqiqi"
"sorting","afran"
"soul","iman, mregh, taneffut, tinefyin"
"sounding","aneqqal"
"soup","imerghan, isekfen, isikef, urkim"
"source","aghbal, aghbalu, ighbula"
"south","anszul, anz'ul"
"south africa","tafriqt n wenz'ul"
"south america","tamrikt n wenz'ul"
"south korea","kurya n wenz'ul"
"souvenir","aktay"
"sovereignty","tanaya, tinaywin"
"space","tallunt"
"spangle","taghanimt, tighunam"
"spark","ifettiwej"
"sparkling drink","tamelgazt"
"speaker","amennay"
"special","uslig"
"specialist","amazzag, imuzzag"
"specialization","asmuzzeg"
"specialty","tamazzagt, tamezzugt"
"species","talmest, tilmas"
"specific","ulmis"
"specificity","tulmist"
"spectacle","ahanay, tamesssusrart"
"spectator","ameshanay, aseffarah"
"speech","awal, inaw, taneqqist"
"speed","arured, azzal, irurad"
"sphere","tabluleght"
"spice","tabqult"
"spider","saras, tissist"
"spinal","aleqqan"
"spinal cord","aleqqin"
"spindle","iszdhi"
"spin-dryer","tiz'iz'emt, tizuzam"
"spiral","tagriwelt"
"spirant","azenzagh"
"spit","imetman, tisusaf"
"spite","ccehna, tutcha"
"spiteful","amcehni"
"splinter","aghtir, ussif"
"spoiled","ccuq"
"spokesman","anett'aq"
"sponge","tajettutt, tajutt'ut, tijutta"
"spoon","taghenjawt, tiflewt, tijghwelt"
"sport","addal"
"sporty","anaddal"
"spotlight","ameggar"
"spring","ased'ru, ised'ra, tafsut, taghbalut"
"springiness","alwiwedh"
"spy","aghalli, ighulla"
"squadron","adefrir, agaluf, idefrar, igulaf, tagaluft, tigulaf"
"sri lanka","sri lanka"
"sri-lankian","asrilanki, isrilankiyen"
"stability","addeki, tamadkat"
"stage","alektu, amecwar, amecwar', annar, ansa, asayes, idebdar, idebder, inurar, tifrekt, tirmelt"
"stagnating","glugel"
"stagnation","aglugel, iglugal"
"stain","aberbec, ccama"
"staircase","asanen, isunan"
"stairs","asanen, tirekkabin"
"stake","asrus, asrus"
"stallion","ajedâun, amal, amal, amali, tizeght"
"stallion measure","tizerghin, tizreght"
"stamp","aghdem, ighedman"
"standard","ameslugen"
"standardization","aslugen"
"stanza","taseddart"
"star","itran, itri"
"starting","asekri"
"starved","imellisz"
"state","addad, awanek"
"state nation","awanak, iwunak"
"state of annexation","amaruz, imuraz"
"state police","tamsetla, timsetliwin"
"state-controlled","awankan"
"stated","tinawt"
"static","imezgi"
"station","taghsert, tamersiwet"
"station of mail","tamizent, timizan"
"statistical","addadan, taddadant"
"statue","asebdad"
"statute","aszayer, az'ayer, izuyar"
"steady","amadkat, imedki"
"steel","anfed"
"stem","agheddu, tara"
"steppe","azawagh, azawegh, azawghan"
"stepped up","afesnan"
"sterile","takubit, tiiqqert tiggerts"
"stick","aaekkwaz, akuray, taghluct"
"stick of rifle","asgur"
"still","alidh, ass, lebda, yal"
"stimulus","amesday"
"sting","tisiqqest, tisiqqest, tisuqqas, tisuqqas"
"stock market","taggazt"
"stomach","aaebbudh, iliwi"
"stomach doctor","amejjay n yimi"
"stomatology","tujjya n yimi"
"stone","az'ru"
"stool","aqajdam"
"stop of bus","asebdad"
"storage","aghbar, aselghes, selghes"
"store","tazenzut, tizenza"
"stories","iwennan"
"stork","ibelliredj"
"storm","azayedh"
"stove","tasareft, tasewwayt, tisuraf"
"straggler","amaglal"
"strand","agwemmadh"
"strategy","tasudest"
"stream","asif"
"street","aghlad"
"strength","afud, tadusi"
"stretchable","amzul"
"strike","asalag, asunded"
"striker","imessinded"
"strip","asaru, asru, asru, axawag, axawag, drawn, tasfift, yunigh"
"stripe","azag, izaggen, tidli"
"stroke","tiyita"
"stroller","tamseglit, timsegla"
"structure","tams'uka, tims'ukyin, tiskiwet"
"structuring","asekkiw"
"struggle","abellen, amennugh"
"stubbornness","agharam, taghennant"
"studying","anelmad"
"stuffed","tagummit, tijeqqimt"
"stupid","aaggun, aaludh, abuhlal"
"stupidity","tibbulett, tiiugent"
"style","aghanib, ighunab, tawila"
"subject","azzegszan"
"subjective","unmas"
"subjectivity","tunmasit"
"sublimation","asuyella"
"submarine","tanett'abt, tanettabt"
"subordinate","imsentalen, imsentel"
"subsidy","asekbel"
"substance","asekkim, asentel, tumast"
"substitution","asmelsi"
"subvention","asekbel, isekbal"
"success","asmures, tarennawet"
"succession","amizzwer, amsedfar"
"successor","asemmezray"
"such","am"
"suckled","iziri, titdha"
"suffering","angaz, attan"
"sufficiency","agdaz"
"sufficiently","ddeqs"
"suffix","adfis"
"suggestion","tiszutt"
"suicide","tunghiman"
"suit","aszmasz, az'maz'"
"suitcase","tabalizt"
"sulkiness","tutctcha"
"sultan","agellid"
"sum","tanafa, timernit"
"summarized","agzul"
"summary","agzul"
"summer","anebdu"
"summit","takettiwt, takyut, taqacuct, taqafult, taqafult."
"sun","ittij, tafukt"
"Sunday","atcer, ihed"
"sunshade","tasdarit, tisduray"
"superficial","ajumman"
"superior","imineg"
"superiority","timinegt"
"supervising","aassas, amagasz"
"supple","imedh"
"supplement","tasitit"
"supplementary","imsiti"
"suppleness","talweght"
"support","akbal, asegur"
"supposition","turdut"
"surface","tajumma, tasna, tijummiwin, tisniwin"
"surgery","agzam"
"surroundings","aszi, asziyen"
"surveillance","taassast, tamagaszt"
"survey","tazrawt"
"suspenders","tibidrin"
"suspicious","aghenja, iflew"
"swahili","taswah'ilit"
"swallow","tifirellest"
"sweat","tidi"
"sweep","adhummu, asfadh, tasemmt"
"sweeper","anefrad'"
"sweetbread","tamcuct"
"sweetness","tadhfi, tiszett"
"swelling","acelbudh, azzug"
"swimming","aaummu, accaf, acucef, ardab"
"swimsuit","aselsilel, iselsillen"
"swing","lulaqt, taja, tajgagalt"
"switching","asedhren"
"sword","isekki"
"sworn","imgillan, imgilli"
"syllabic","ament'aq"
"syllable","tunt'iqt, tunttiqt"
"symbol","akbab, azamul, izumal"
"symbolic","azamal"
"symmetrical","amisi"
"symmetry","tisit, tujjurt"
"sympathy","arakab"
"symposium","amedru, anamal, imedra, inamalem"
"synchronic","agdakud"
"syntax","taseddast"
"synthesis","tasemlilt"
"synthetic","asemlal"
"syria","surya"
"syrian","asuri, isuriyen"
"syriaque language","taseryanit"
"syringe","tissegnatin, tissegnit"
"syrup","iszem"
"system","anagraw"
"systemic","unegriw"
"table","agbur, tadabut, tatabelt, tiduba"
"tactical","tillit"
"tadzhiki","atadjiki, itadjikiyen"
"tagalog language","tafilippinit, tat'agalugt"
"tail","amuti, imutyen, tamghilt, tamzughrit, tamzughrit, tasetta"
"tail(1)","tarattiwt"
"tailor","agennay"
"tajiki language","tatadjikit"
"tajikistan","taczhikistan"
"taken","tufgha, ufugh"
"taken of conscience","afrak, ifiqi"
"tale","tamacahuts, tanfust"
"talkative","stut aceghnan"
"tallow","tadunt"
"tambourine","allun"
"tampon","asekbab"
"tank top","aselsedmar"
"tape recorder","aseklas, tamesfift"
"tar","aqed'ran"
"taremmaktut","asenker, awel"
"task","tizziwet"
"taste","amdhay, aram"
"taurus","aajmi"
"tautological","agdawal"
"tautology","tagdawalt"
"tax","tabzart, taszettat, tazett'ad't, tiwsi, tizettadin"
"taxiphone","asawal azayez"
"taxonomie","tamessartut"
"taxpayer","amawas"
"tcheremese language","tatcirmist"
"tea","atay"
"teaching","aselmad, aselmed"
"team","taghlamt, tarbaat"
"team member","aneghlam"
"teapot","abaqraj, amsatay"
"tear","imettawen, imetti"
"teenager","amawad, amawad, anubi, inuba, tanubi, tilemszit"
"telephone","asawal, tilifun, tilighri"
"telephonic","asawlan"
"telescope","tismaqalin"
"teletype","isiwd'en, isiwed'"
"television","tiliszri, tiliz'rit"
"temperature","taszghelt, taz'ghelt, tizghal"
"templar","amesfakan"
"temple","afakan, ifukan, taqwrrabt"
"ten","tamrawt"
"tendency","anezzugh"
"tenderness","amesmullu"
"tense","ussid"
"tension","aftagh"
"tent","aqid'un"
"tepid","az'eqqal"
"term","awttu"
"terrace","azugh, tabraht"
"terrestrial globe","ticireklin, ticirkelt"
"terrifying","amsiwef, aramghan"
"terror","aramagh, tawafa"
"terrorism","asiwfeszri, taremgha"
"terrorist","amessawaf, aremmagh"
"test","aaradh, anaarudh, asadez, inidi, inidi, tamezzuyt, tirma, tirmit"
"testimony","tagga, taggiwin, taggwa, tanagit"
"text","ad'ris, adhris"
"textual","aned'ras"
"texture","aszetta"
"thank you","sahit, tanemmirt"
"thanks","asnemmer, isnemmiren"
"that is present","amha, imhayen"
"The boy has beaten","Yewwet weqcic"
"the day after tomorrow","naf-uzekka, sel-azekka"
"the house of the man","axxam bb wergaz, axxam n wergaz, axxam n wergaz, axxam pp wergaz"
"theater","amezgun"
"theatrical","amezgan"
"their","nsen, nsent"
"them","nitenti, nutenti"
"thematic","asental"
"theme","asentel"
"themselves","aftay, ifetti"
"then","dgha, didin, ihi"
"theoretical","aszrayan, az'rayan"
"theoretician","ameszray, amezray"
"theory","tiszri"
"there","dih, dihin, hin"
"therefore","dagh ihi"
"thermal","az'eghlan"
"thesis","agemmir"
"thick","ahrawan, azuran, zur"
"thickness","tahri, tidhni, tuzart"
"thief","amakwar, amekwradh, imiker"
"thigh","taghma, tamessatt"
"thimble to sew","talemd'ad't"
"thing","taghawsa"
"thirst","effad, fad, rufu"
"thirsty","effad, ffudegh, iffud"
"thistle","abuneqqar"
"thorn","asennan"
"thought","amyar, tawengimt, tidmi, tidmiyin"
"thousand","agim, igiman"
"thread","ixidh, ustu"
"threat","aggaz"
"three","krad', krad'et, kradhs"
"throat","agerjum"
"thursday","amhad, lexmis"
"tick","aselluf, taselluft"
"ticket of money","tiferkit n yedrimen"
"tiddest","token"
"tie","amattaf, amsemlel, aseghwen"
"tightening","assas"
"tile","asali, isalan, tablatt"
"tile of window","tamkuz't"
"time","akud, tallit, tikkelt"
"timetable","asergan"
"tin","ahallun"
"tinkering","adaqar, amermed"
"tire","amastal"
"title","azwel, izwal"
"titled","anezwal"
"titmouse","abuheddad"
"to (place)","dag"
"to (time)","ar"
"to abound","ilwattas, yugwet"
"to absorb","issum, senfesz, sew"
"to abstain","ugel"
"to abstain of","yugel seg"
"to accelerate","ackad', cked', icekked', icked', ur ickid'"
"to accentuate","aghdebbu, ghdebbu, ighdebba, itteghdebbu, ur ighdebba"
"to accept","szayet"
"to accommodate","meckiked, zdegh"
"to accumulate","cellef"
"to accuse","arday, irda, ireddu, lumes, rdu, ur irdi"
"to accustom","myer, nnam"
"to achieve","ssedhru"
"to acquire","lummesz"
"to acquit","assunfu, issunfa, issunfuy, ssunfu, ur issunfa"
"to act","eg, iga"
"to adapt","msasa"
"to add","rnu, sit, smerni, snerni"
"to adhere","altagh, ilettegh, iltegh, ltegh, ntedh, ut iltigh"
"to adjust","aslugen, islugen, islugun, slugen, ur islugen"
"to adjust (1)","sgaddi"
"to admire","grez"
"to admit","sidemr"
"to adopt","zdel"
"to affirm","ssentem"
"to afforest","asseklu, issekla, isseklay, sseklu, ur issekla"
"to aggravate","senfuffed"
"to agitate","asmessi, ismessa, ismessay, smessi, ur ismessa"
"to agonize","selqef"
"to agree","amtawi, imtawa, ittemdaway, mtawi, ur imtawa"
"to agree to","msisi"
"to air","sbuhru"
"to alienate","askufed', iskufed', iskufud', skufed', ur iskufed'"
"to alleviate","sifsus"
"to allow","assireg, issareg, issirig, ssireg, ur issareg"
"to ally with","amsisi, imsa, imsasa, ittemsisi, msisi, ur imsasa"
"to alter","rjen"
"to alternate","amlelli, imlelli, ittemlellay, mlelli, ur imlelli"
"to americanize","smerken, ur yesmerken, yesmerken, yesmerkin"
"to amplify","sedfu, setfel"
"to amuse","edhu, ezhu, hell, sedhu, tturs"
"to analyze","aslad', iselled', isled', sled', sledh, ur islid'"
"to analyze (1)","sebrurez"
"to anesthetize","sduyyet, sgen"
"to annex","smurez"
"to announce","berreh, ellegh"
"to annoy","tctceh"
"to annul","asemmet, isemmet, ittsemmit, semmet, ur isemmet"
"to answer","err, irra, ittara, tiririt, ur irri"
"to appear","ban, gammed, wemm"
"to applaud","assuqqes, issuqqes, issuqqus, ssuqqes, ur issuqqes"
"to applaud (1)","beqqes, ceqqwer"
"to apply","asnas, isennes, isnes, snes, ur isnis"
"to appreciate","dkedh"
"to approach","kumer"
"to arbitrate","asnefru, isnefra, isnefruy, snefru, ur isnefra"
"to archive","ghber"
"to argue","asfikel, isfakal, isfakel, sfikel, ur isfakel"
"to argue (1)","szeghszen"
"to arm","asserbeb, isserbab, isserbeb, sserbeb, ur isserbeb"
"to arrange","dres, nemken"
"to arrive","awedh"
"to ask a question","itetter, itter, tter, tuttra, ur ittir"
"to ask for","suter, ttser"
"to assimilate","asserti, issertay, isserti, sserti, ur isserti"
"to associate","sdukkel, uhar"
"to assume","bib"
"to assure","senked"
"to astonish","bbehbi, bhedh, sbehbi, sebhedh, sewhem, whem"
"to attach","cudd, eqqen"
"to attack","antag, inetteg, integ, nt'eg, ur intig, zzernen"
"to attack (1)","azzerne, ittzernin, izzernen, ur izzernen"
"to attack itself","amzernen, imzernen, ittemzernin, mzernen, ur imzernen"
"to attend","areg"
"to avoid","sunef"
"to awaken","ssakwi"
"to balance","issemneknay, issemnekni, ssemnekn, ur issemnekni"
"to balance (1)","assemnekni"
"to balance itself","amnekni, imnekni, ittemneknay, mnekni, ur imnekni"
"to bark","seglef, shewhew, tuhu"
"to bathe","ccef, cucef"
"to be","ili, tagmest"
"to be absent","ba, iba, iba, ittba, ur iba"
"to be alienated","akufed', ikufed', ittkufud', kufed', ur ikufed'"
"to be allowed","areg, arrag, ittareg, ur yurig, yureg"
"to be amazigh","amazegh, immuzegh, ittmazagh, mmazegh, ur immuzegh"
"to be argued","afakel, fakel, ifukel, ittfakal, ur ifukel"
"to be armed","arbab, irbeb, irebbeb, rbeb, ur irbib"
"to be assimilated","artay, iretti, irti, rti, ur irti"
"to be atomized","abbelkem, bbelkem, ibbelkem, ittbelkim, ur ibbelkem"
"to be beautiful","ahuski, hhuski, ihhuski, itthuskuy, ur ihhuski"
"to be bent","ad'ebbeq, ebbeq, id'ebbeq, ur id'ebbeq, yettd'ebbiq"
"to be berber","ittumazagh, ttumazegh (ittumazegh, ut ittumazegh"
"to be berber (1)","attumazegh"
"to be born","lul"
"to be bound","amset, imsetlel, ittemsetlil, msetlel, ur imsetlel"
"to be celebrated","afugel, fugel, ifugel, ittfugul, ur ifugel"
"to be censored","ittwadras, ittwadres, ttwadres, ur ittwadrest"
"to be censored (1)","attwadres"
"to be collected","agraw, grew, igerrew, igrew, ur igriw"
"to be concave","aghnaj, ghnej, ighennej, ighnej, ur ighnij"
"to be condemned","az'er, azz'ar, ittaz'er, ur yuz'ir, yuz'er"
"to be corrupted","agufsu, ggufsu, iggufsa, ittgufsu, ur iggufsa"
"to be credited","annesmed, innesmed, ittnesmid, nnesmed, ur innesmed"
"to be developed","annefli, innefli, ittneflay, nnefli, ur innefli"
"to be devoted","ammid'wel, immad'wel, ittmid'wil, mmid'wel, ur immad'wel"
"to be difficult","alughu, ilugh, ittlughu, lugh, ur ilugh"
"to be dissolved","alyam, ileyyem, ilyem, lyem, ur ilyim"
"to be distant","agugu, ggug, iggug, ittgugu, ur iggug"
"to be distributed","annezwi, innezwa, ittnezway, nnezwi, ur innezwa"
"to be educated","anen, annan, ur yunin, yettanen, yunen"
"to be elastic","ilwawed', ittelwiwid', lwiwed', ur ilwawed'"
"to be evident","amunu, immune, immune ur, ittmunu, mmun"
"to be expressed","anfali, infala, ittenfali, nfali, ur infala"
"to be fast","arured, irured, ittrurud, rured, ur irured"
"to be formed","attwalegh, ittwalagh, ittwalegh, ttwalegh, ur ittwalegh"
"to be freed","aderfi, dderfi, idderfay, idderfi, ur idderfi"
"to be frequent","sniger"
"to be grandiloquent","ittufay, tufayt, ufay, ur yufay, yugfay"
"to be happy","ammendi, immenda, ittmenday, mmendi, ur immendi"
"to be happy (1)","nnecrah zhu"
"to be important","axater, ittxatar, ixuter, ur ixuter, xater"
"to be impossible","anz'ar, inezz'er, inz'er, nz'er, ur inz'ir"
"to be in contact","annermes, innermes, ittnermis, nnermes, ur innermes"
"to be in good health","adwas, dwes, idwes, ittedwas, ur idwis"
"to be informed","amelghu, immelgha, ittmelghuy, mmelghu, ur immelgha"
"to be late","agellel, gellel, igellel, itgellil, ur igellel"
"to be loose","zdel"
"to be necessary","asd'ull, isd'ulli, isd'ulluy, sd'ulli, ur isd'ulli"
"to be organized","ddes, iddes, iteddes, tuddsa, ur iddis"
"to be patient","sszidher"
"to be perfected","ablal, blel, ibellel, iblel, ur iblil"
"to be permanent","aghlal, ghlel, ighellel, ighlel, ur ighlil"
"to be planned","anghiwes, inghawes, ittenghiwis, nghiwes, ur inghawes"
"to be present","hi, iha, itthay, tahit, ur ihi"
"to be programmed","ahal, ahel, ur yuhil, yettahel, yuhel"
"to be proletary","ittemghad, ittemghed, ttemghed, ut ittemghed"
"to be proletary (1)","attemghed"
"to be prosperous","ankelwi, inkelwa, ittenkelwi, nkelwi, ur inkelwa"
"to be regular","alugen, illugen, ittlugun, llugen, ur ilugen"
"to be rhythmic","awellen, itwellin, iwellen, ur iwellen, wellen"
"to be romanized","ar'ummen, rr'ummen, ur yerr'ummen, yerr'ummen, yettr'ummun"
"to be some delay","gellel"
"to be specialized","amuzzeg, ittmuzzug, mmuzzeg (immuzzeg, ur immuzzeg"
"to be spirant","azzenzegh, izzenzagh, izzenzegh, ur izzenzegh, zzenzegh"
"to be sufficient","gdez"
"to be unanimous","annemzel, innemzel, ittnemzil, nnemzel, ur innemzel"
"to be under-developed","aggunzu, ggunzu, iggunza, ittgunzu, ur iggunza"
"to be used","amras, imerres, imres, mres, ur imris"
"to be vain","abennen, bennen, ibennen, ittbennin, ur ibennen"
"to be vie","ammhaz, immhez, ittemhaz, mmhez, ur immhiz"
"to be wise","asnag, isnag, isnagay, snag, ur isnag"
"to be wounded","ages, aggas, ur yugis, yettages, yuges"
"to beat","ewwet, sendu"
"to become","azekka, imal, tughult, ughal"
"to become gray","ssenghed"
"to become old","ccuref"
"to beg","mter"
"to believe","amen, fels"
"to belong","ili, tsekki"
"to bend","ad'fas, fes, id'effes, ur yed'fis, yed'fes"
"to benefit","rez"
"to besiege","assutel, issutel, issutul, ssutel, ur issutel"
"to besiege (1)","sutel"
"to betray","kerres, xdaa"
"to bind","cudd, eqqen, semlil"
"to bite","ekc, ghessz, kerrec"
"to blacken","ibrik, sibrek"
"to blame","cuced, zawer"
"to bleat","juggu, sbaabaa"
"to blink","ghemmez, remmec, ssiblew"
"to bloom","rzuzzegh"
"to blow","nsar, sudh"
"to boil","rkem"
"to bombard","sbirrew"
"to bore","xiq"
"to botch","serwet, xermez"
"to bother","bessel, cettet"
"to bound","ndhew, ntteg, nttew"
"to boycott","grefdh"
"to brake","aggagh, awegh, ittawegh, ur yuwigh, yuwegh"
"to branch out","zruzzegh"
"to bray","juu, sgharghar, shundur"
"to break","ersz"
"to break up","cellex"
"to breathe","snuffes"
"to bring","awi, awi, elwi"
"to bring up","ali, awen"
"to build","esk"
"to burn","ergh, ireqq"
"to bury","cfen, mdhel"
"to buy","agh, segh"
"to calculate","hseb, ssidhen"
"to call","gher, siwel"
"to camp","asdar, isder, isedder, sder, serves, ur isdir"
"to camp (1)","qeggel"
"to can","adabu, izmir, tanbatt"
"to capture","amesz, ttef"
"to card","qerdec"
"to caress","slef"
"to castigate","fger"
"to castrate","ddez"
"to catch","ccelqef, ettef, tub"
"to cause","asmentel, ismentel, ismentil, smentel, ur ismentel"
"to celebrate","asfugel, isfugel, isfugul, sfugel, ur isfugel"
"to censor","adras, dres, iderres, idres, ur idris"
"to certify","asselken, isselkan, isselken, sselken, ur isselken"
"to certify (1)","selkem"
"to challenge","cqirrew, nszer"
"to change","beddel, senfel"
"to charge","smigel"
"to chat","ceghnen, mmeslay, qesser"
"to cheat","knedh"
"to chew","fesz"
"to choose","afran, fren, iferren, ifren, ur ifrin"
"to circulate","ddu, ihu, sikel"
"to circumcise","ssedhhar, ssexten"
"to civilize","seghrem"
"to claim","annegmi, innegma, ittnegmi, nnegmi, ur innegma"
"to clarify","sefru, sfu"
"to clean","nnedh, sfedh, urs"
"to clear","anafar, eldi, inufar, sewxar"
"to climb","cfullet ali"
"to close","mdel, sekwer"
"to coax","hesszer, slef"
"to collapse","ghil"
"to collect","alkensi, ilkensi, ittelkensay, lkensi, ur ilkensi"
"to collect (1)","lqwedh, nbez, segrrew, ssemlil"
"to combine","senney"
"to come back","ughaled"
"to comment","awennet, ittwennit, iwennet, ur iwennet, wennet"
"to communicate","isselgha, isselghay, myawedh, sselghu, ur isselgha"
"to commute","senfel"
"to compare","sidmer, snemhel"
"to compensate","amhas, ghrem, imehhes, imhes, mhes, ur imhis, urz"
"to complete","smed, summed"
"to complicate","ghennej"
"to compose","assuddes, issuddes, issuddus, ssuddes, ur issuddes"
"to compose (1)","eddes"
"to compromise","assurdu, issurda, issurduy, ssurdu, ur issurda"
"to compromise (1)","surdu"
"to concentrate","imes, sersiy"
"to concretize","sekmen"
"to condemn","aaqeb, ssziszer"
"to confess","iku"
"to confide","msagaz"
"to confirm","sentem"
"to confound","sserkes"
"to confront","mnala, qabel"
"to conjugate","assefti, isseftay, issefti, sefti, ssefti, ur issefti"
"to conjugate itself","fti, ifti, ur ifti"
"to connect","iqqen, itteqqen, qqen, semlil, ur iqqin"
"to conquer","aslag, isellek, islek, slek, ur islik"
"to construct","es'k, is'ka, ittas'ka, tames'kiwt, ur is'ki"
"to construct (1)","bnu ssali"
"to consume","assuder, issuder, issudur, ssuder, ur issuder"
"to contain","agbar, gber, igber, igebber, ur igbir"
"to contemplate","ssilem"
"to contest","agwi, seghrebbet"
"to continue","arnu, ghlel, kemmel"
"to contract","sedres"
"to contribute","bzer"
"to control","senghed"
"to converse","asdiwen, isdawen, isdiwin, sdiwen, ur isdawen"
"to cook","sebbw, senwu"
"to cooperate","anmireg, inmareg, ittenmirig, nmireg, ur inmareg"
"to cooperate (1)","medhel"
"to correct","isseghta, isseghtay, reqaa, sseghtu, ur isseghta"
"to correct (1)","asseghtu"
"to counsel","anesghamu, anessemdu, inesghuma, inessemda"
"to count","adden, ittaddan, sidhen, uddun, ur yuddin, yudden"
"to cover","deffes, del, ger, ghems, ghum"
"to cramp","ckenttedh"
"to create","smentel, snulfu"
"to credit","asnesmed, isnesmad, isnesmed, snesmed, ur isnesmed"
"to criticize","azghan, izeghghen, izghen, ur izghin, zghen"
"to cross","zger"
"to crouch down","qummec, skuttem"
"to crush","ddez"
"to cry","ru, tsru"
"to cut","gzem, sghres"
"to cut down","engh"
"to dance","cdhah"
"to dare","ffuhri"
"to darken","berrez szdem"
"to deal","asetti, isettay, isetti, setti, ur isetti"
"to debate","hdar, mmeslay, myini, seksi, sqardec"
"to debate of","askasi, iskasay, iskusa, skasi, ur iskusa"
"to decide","aghtas, ghtes, ighettes, ightes, qsed, ur ightis"
"to decipher","azmak, izemmek, izmek, ur izmik, zmek"
"to declare","berreh"
"to decorate","adlag, dleg, idelleg, idleg, reqaa, ur idlig"
"to decrease","ktem, nghes, senghes"
"to deepen","sderru, ssiqli"
"to defend","astan, hudd, isetten, isten, sten, ur istin"
"to defer","ssemti"
"to define","asbadu, isbuda, isbuduy, sbadu, ur isbuda"
"to delegate","asmigel, ismagel, ismigil, smigel, ur ismagel"
"to deliver","jenjem"
"to democratize","asugdu, ssugdu, ur yessugdu, yessudun, yessugdu"
"to demolish","hudd, sedrem"
"to demonstrate","senaat, senszi"
"to denounce","assumel, issumel, issumul, ssumel, ur issumel"
"to deny","szel"
"to depend","agel, aggal, ur yugil, yettagel, yugel, yugel gher"
"to depend (1)","ugel"
"to deposit","serves, sgel"
"to derive","assuddem, issuddem, issuddum, ssuddem, ur issuddem"
"to describe","aglam, glem, igellem, iglem, ur iglim"
"to deserve","klal, rur"
"to despise","iku"
"to destroy","del, hudd, ssedrem"
"to detach","serreh"
"to determine","gguccel, igguccel, ittguccul, ur igguccel"
"to develop","ssendel"
"to develope","asnefli, isneflay, isnefli, snefli, ur isnefli"
"to devote","asmidwel, ismadwel, ismidwil, smidwel, ur ismadwel"
"to dictate","azzubet, izzubet, izzubut, ur izzubet, zzubet"
"to dictate (1)","zubet"
"to die","mmet"
"to differentiate","smeszli"
"to dine","amensi, imensi"
"to direct","anili, asnili, inal, isnal, isnalay, nil, nile, snil, ur inal, ur isnal, ur ittnil"
"to disappoint","beytel"
"to discern","rmes"
"to discolor","ncel, sencel"
"to discourage","sefcel"
"to discover","aff, zef"
"to dishonor","bbehdel, heccem"
"to dispense","zzemzi"
"to disperse","sewziwez, wezzaa"
"to displace","neqqel, rigez"
"to display","beqqedh, snazel"
"to disregard","sewzez"
"to disrupt","erwi, serwi, sexeb"
"to dissolve","asselyem, isselyam, isselyem, sselyem, ur isselyem"
"to dissolve (1)","selyem"
"to distinguish","zlem"
"to distribute","aznezwi, iznezwa, iznezway, ur iznezwa, znezwi"
"to distribute (1)","bdhu, sedger, ski, zenzew"
"to disturb","cebbwel"
"to dive","andab, indeb, ineddeb, ndeb, ur indib"
"to divert","argham, ireghghem, irghem, rghem, ur irghim"
"to divide","szun bdhu"
"to domesticate","sgerd"
"to dominate","aghmar, ghimer, ghmer, ighemmer, ur ighmir"
"to double","aslag, iselleg, isleg, sleg, ur islig"
"to doze","gen, nuddem"
"to drag","islughma, islughmay, slughmu, ur islughma"
"to drag (1)","aslughmu"
"to draw","assunegh, issunegh, issunugh, ssunegh, ur issunegh"
"to draw (1)","ayem, ghez, ghiz, sunegh"
"to dream","argu"
"to dress","els"
"to drift","suddem"
"to drink","sew"
"to drive","her, nhar, snu, sselhu"
"to drown","ghreq, lghi"
"to dry","kkaw, qqar, sizegh"
"to eat","etctc"
"to educate","sekred, ssegmi, ssinen"
"to elaborate","suteb"
"to elect","fren"
"to eliminate","afes, affas, affas, ssefl, ur yufis, yettafes, yufes"
"to emanate","sdew"
"to emancipate","sderfi"
"to embarrass","snukmu"
"to embroider","deg"
"to emigrate","inig"
"to empty","nghel, seyru"
